"Id";"Обозначение";"Отпечатък";"Количество";"Обозначение";"Доставчик";
1;"SW1, SW2, SW3";"SW_Cherry_MX_1.00u_PCB";3;"SW_Push";;;
2;"U1";"XIAO-Generic-Hybrid-14P-2.54-21X17.8MM";1;"MOUDLE-SEEEDUINO-XIAO";;;
